Rk,Player,Pos,Age,Tm,G,MP,PE_PG%,PE_SG%,PE_SF%,PE_PF%,PE_C%,+/-_OnCourt,+/-_On-Off,TO_BadPass,TO_LostBall,Shoot_Fl_Com,Off._Fl_Com,Shoot_Fl_Drn,Off._Fl_Drn,PGA,And1,Blkd
251,Elijah Hughes\hugheel01,SG,23,POR,1,11,,100%,,,,13.2,17.5,0,0,2,0,0,0,0,0,0
252,De'Andre Hunter\huntede01,SF,24,ATL,28,811,,,82%,18%,,-3.3,-5.0,9,16,27,6,33,11,88,7,20
253,Chandler Hutchison\hutchch01,SF,25,PHO,6,22,,16%,54%,30%,,30.6,22.2,0,2,0,0,1,0,5,0,0
254,Bones Hyland\hylanbo01,PG,21,DEN,44,784,33%,66%,1%,,,0.3,-2.3,19,17,40,5,19,2,211,3,26
255,Serge Ibaka\ibakase01,C,32,LAC,35,538,,,,16%,84%,-3.0,-2.0,11,11,25,7,13,0,85,3,10
256,Andre Iguodala\iguodan01,SF,38,GSW,26,518,,10%,65%,23%,2%,11.5,4.7,18,4,14,0,5,7,239,0,1
257,Joe Ingles\inglejo01,SF,34,UTA,45,1122,,,91%,9%,,7.9,2.0,28,11,15,4,6,4,383,1,8
258,Brandon Ingram\ingrabr01,SF,24,NOP,42,1448,,50%,44%,6%,,0.5,9.6,50,37,37,19,100,7,547,28,38
259,Kyrie Irving\irvinky01,PG,29,BRK,14,507,29%,71%,,,,-1.0,-1.6,24,8,14,1,21,2,180,8,10
260,Wes Iwundu\iwundwe01,SF,27,ATL,3,82,1%,7%,64%,29%,,0.7,0.6,0,1,3,0,2,1,0,0,4
261,Frank Jackson\jacksfr01,PG,23,DET,43,968,40%,59%,1%,,,-10.3,0.4,17,8,41,2,35,8,102,8,19
262,Isaiah Jackson\jacksis01,PF,20,IND,20,193,,,,22%,78%,-6.1,-3.2,1,3,15,6,13,2,17,3,5
263,Jaren Jackson Jr.\jacksja02,PF,22,MEM,57,1591,,,3%,55%,42%,5.3,0.7,27,24,96,37,115,6,145,26,75
264,Josh Jackson\jacksjo02,SF,24,DET,39,707,,,47%,53%,,-9.2,1.9,29,5,32,1,28,12,115,9,17
265,Justin Jackson\jacksju01,SF,26,TOT,7,37,,44%,22%,34%,,-22.0,-30.8,1,0,2,0,0,0,5,0,0
265,Justin Jackson\jacksju01,SF,26,BOS,1,2,,,,100%,,-125.0,-130.1,0,0,0,0,0,0,0,0,0
265,Justin Jackson\jacksju01,SF,26,PHO,6,35,,46%,24%,30%,,-16.1,-25.1,1,0,2,0,0,0,5,0,0
266,Reggie Jackson\jacksre01,SG,31,LAC,54,1659,66%,34%,,,,-2.7,-3.1,79,25,44,6,39,20,548,8,25
267,LeBron James\jamesle01,SF,37,LAL,40,1469,,,31%,63%,7%,-0.6,1.8,78,23,43,14,107,13,632,39,33
268,DeJon Jarreau\jarrede01,SG,24,IND,1,1,,100%,,,,0.0,3.1,0,0,0,0,0,0,0,0,0
269,DaQuan Jeffries\jeffrda01,SG,24,MEM,3,9,,10%,53%,37%,,-28.2,-33.3,0,0,1,0,0,0,2,0,0
270,Ty Jerome\jeromty01,SG,24,OKC,47,782,30%,65%,5%,,,-3.4,5.3,19,12,26,2,19,3,267,4,18
