Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
99,Zylan Cheatham\cheatzy01,SF,26,UTA,1,5,-23.7,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,,-0.1,0.0,-0.1,-0.618,,-18.8,-11.4,-30.2,0.0
100,Chris Chiozza\chiozch01,PG,26,GSW,26,279,5.2,.420,.662,.015,3.2,8.2,5.8,22.0,1.6,0.0,25.2,13.6,,-0.3,0.4,0.1,.018,,-5.1,-0.3,-5.4,-0.2
101,Marquese Chriss\chrisma01,PF,24,DAL,23,256,14.5,.526,.208,.188,9.3,25.1,17.2,7.5,2.2,3.5,13.5,22.1,,0.0,0.5,0.5,.095,,-4.2,0.8,-3.5,-0.1
102,Josh Christopher\chrisjo01,SG,20,HOU,47,780,13.2,.563,.390,.223,4.4,9.1,6.7,16.5,2.4,0.7,17.7,20.8,,0.2,0.3,0.4,.026,,-1.1,-1.6,-2.8,-0.2
103,Gary Clark\clarkga01,PF,27,NOP,24,269,11.3,.535,.836,.131,6.0,20.5,13.1,4.1,1.8,2.5,7.2,11.2,,0.2,0.3,0.5,.090,,-0.3,0.0,-0.3,0.1
104,Brandon Clarke\clarkbr01,PF,25,MEM,43,818,24.8,.673,.062,.295,10.7,18.8,14.7,11.7,1.2,5.1,6.5,17.8,,3.2,1.1,4.3,.255,,3.8,0.8,4.6,1.4
105,Jordan Clarkson\clarkjo01,SG,29,UTA,53,1405,14.2,.520,.571,.148,3.3,10.5,7.0,14.1,1.3,0.8,9.8,27.1,,0.7,1.3,2.0,.067,,0.4,-1.4,-1.0,0.4
106,Nic Claxton\claxtni01,C,22,BRK,25,530,18.9,.639,.000,.342,11.4,16.9,14.2,5.9,1.1,4.7,9.2,16.0,,1.3,0.5,1.8,.166,,0.4,-0.5,-0.1,0.2
107,Amir Coffey\coffeam01,SG,24,LAC,45,993,13.6,.619,.585,.265,2.4,11.9,7.3,10.2,1.1,0.9,7.0,14.6,,1.9,0.9,2.8,.134,,0.5,0.2,0.6,0.7
108,John Collins\collijo01,PF,24,ATL,50,1564,19.8,.621,.264,.264,6.3,21.2,13.8,9.3,1.0,3.1,7.7,20.4,,4.0,1.2,5.2,.160,,2.1,-0.2,1.9,1.5
109,Zach Collins\colliza01,PF,24,SAS,3,48,15.8,.482,.158,.211,15.1,24.2,19.6,22.7,3.0,0.0,19.4,22.7,,0.0,0.1,0.1,.070,,-1.9,0.2,-1.8,0.0
110,Darren Collison\collida01,PG,34,LAL,3,37,-0.2,.286,.429,.000,0.0,11.4,5.7,6.8,1.3,0.0,12.5,9.3,,-0.1,0.0,0.0,-0.063,,-10.1,-0.9,-11.0,-0.1
